Date,Value
2005/1/1,199
2005/2/1,199.4
2005/3/1,200.1
2005/4/1,200.2
2005/5/1,200.5
2005/6/1,200.6
2005/7/1,200.9
2005/8/1,201.1
2005/9/1,201.3
2005/10/1,202
2005/11/1,202.5
2005/12/1,202.8
2006/1/1,203.2
2006/2/1,203.6
2006/3/1,204.3
2006/4/1,204.8
2006/5/1,205.4
2006/6/1,205.9
2006/7/1,206.3
2006/8/1,206.8
2006/9/1,207.2
2006/10/1,207.6
2006/11/1,207.8
2006/12/1,208.1
2007/1/1,208.6
2007/2/1,209.135
2007/3/1,209.418
2007/4/1,209.747
2007/5/1,210.058
2007/6/1,210.392
2007/7/1,210.773
2007/8/1,211.119
2007/9/1,211.554
2007/10/1,212.077
2007/11/1,212.66
2007/12/1,213.168
2008/1/1,213.771
2008/2/1,213.939
2008/3/1,214.42
2008/4/1,214.56
2008/5/1,214.936
2008/6/1,215.424
2008/7/1,215.965
2008/8/1,216.393
2008/9/1,216.713
2008/10/1,216.788
2008/11/1,216.947
2008/12/1,216.925
2009/1/1,217.346
2009/2/1,217.792
2009/3/1,218.253
2009/4/1,218.706
2009/5/1,218.904
2009/6/1,219.112
2009/7/1,219.263
2009/8/1,219.496
2009/9/1,219.92
2009/10/1,220.501
2009/11/1,220.666
2009/12/1,220.881
2010/1/1,220.633
2010/2/1,220.731
2010/3/1,220.783
2010/4/1,220.822
2010/5/1,220.962
2010/6/1,221.194
2010/7/1,221.363
2010/8/1,221.509
2010/9/1,221.711
2010/10/1,221.83
2010/11/1,222.149
2010/12/1,222.343
2011/1/1,222.803
2011/2/1,223.213
2011/3/1,223.454
2011/4/1,223.727
2011/5/1,224.175
2011/6/1,224.697
2011/7/1,225.218
2011/8/1,225.862
2011/9/1,226.118
2011/10/1,226.506
2011/11/1,226.899
2011/12/1,227.405
2012/1/1,227.877
2012/2/1,228.034
2012/3/1,228.478
2012/4/1,228.905
2012/5/1,229.224
2012/6/1,229.623
2012/7/1,229.97
2012/8/1,230.233
2012/9/1,230.659
2012/10/1,231.024
2012/11/1,231.33
2012/12/1,231.725
2013/1/1,232.229
2013/2/1,232.569
2013/3/1,232.794
2013/4/1,232.832
2013/5/1,232.996
2013/6/1,233.35
2013/7/1,233.88
2013/8/1,234.336
2013/9/1,234.7
2013/10/1,234.921
2013/11/1,235.359
2013/12/1,235.759
2014/1/1,235.961
2014/2/1,236.185
2014/3/1,236.625
2014/4/1,237.072
2014/5/1,237.529
2014/6/1,237.837
2014/7/1,238.195
2014/8/1,238.405
2014/9/1,238.786
2014/10/1,239.191
2014/11/1,239.458
2014/12/1,239.584
2015/1/1,239.811
2015/2/1,240.172
2015/3/1,240.755
2015/4/1,241.346
2015/5/1,241.688
2015/6/1,242.064
2015/7/1,242.565
2015/8/1,242.817
2015/9/1,243.316
2015/10/1,243.768
2015/11/1,244.241
2015/12/1,244.547
2016/1/1,244.955
2016/2/1,245.51
2016/3/1,245.913
2016/4/1,246.551
2016/5/1,247.137
2016/6/1,247.54
2016/7/1,247.829
2016/8/1,248.423
2016/9/1,248.842
2016/10/1,249.142
2016/11/1,249.481
2016/12/1,249.92
2017/1/1,250.467
2017/2/1,250.998
2017/3/1,250.944
2017/4/1,251.227
2017/5/1,251.43
2017/6/1,251.746
2017/7/1,251.985
2017/8/1,252.535
2017/9/1,252.812
2017/10/1,253.526
2017/11/1,253.816
2017/12/1,254.344
2018/1/1,255.204
2018/2/1,255.711
2018/3/1,256.271
2018/4/1,256.63
2018/5/1,257.145
2018/6/1,257.399
2018/7/1,257.699
2018/8/1,257.891
2018/9/1,258.368
2018/10/1,258.917
2018/11/1,259.439
2018/12/1,260.063
2019/1/1,260.766
2019/2/1,261.186
2019/3/1,261.567
2019/4/1,261.997
2019/5/1,262.217
2019/6/1,262.739
2019/7/1,263.28
2019/8/1,263.877
2019/9/1,264.388
2019/10/1,264.97
2019/11/1,265.548
2019/12/1,266.02
2020/1/1,266.716
2020/2/1,267.37
2020/3/1,267.054
2020/4/1,265.746
2020/5/1,265.412
2020/6/1,265.849
2020/7/1,267.389
2020/8/1,268.422
2020/9/1,268.933
2020/10/1,269.306
2020/11/1,269.981
2020/12/1,270.341
2021/1/1,270.416
2021/2/1,270.776
2021/3/1,271.453
2021/4/1,273.626
2021/5/1,275.457
2021/6/1,277.608
2021/7/1,278.639
2021/8/1,279.021
2021/9/1,279.727
2021/10/1,281.649
2021/11/1,283.411
2021/12/1,285.221
2022/1/1,286.799
2022/2/1,288.256
2022/3/1,289.044
2022/4/1,290.474
2022/5/1,292.039
2022/6/1,294.009
2022/7/1,295.08
2022/8/1,296.582
2022/9/1,298.281
2022/10/1,299.381
2022/11/1,300.316
2022/12/1,301.433
2023/1/1,302.685
2023/2/1,304.097
2023/3/1,305.123
2023/4/1,306.49
2023/5/1,307.623
2023/6/1,308.291
2023/7/1,308.959
2023/8/1,309.646
2023/9/1,310.616
2023/10/1,311.433
2023/11/1,312.373
2023/12/1,313.23
2024/1/1,314.389
2024/2/1,315.555
2024/3/1,316.762
2024/4/1,317.596
2024/5/1,318.053
2024/6/1,318.343
2024/7/1,318.933
2024/8/1,319.839
2024/9/1,320.835
2024/10/1,321.688
2024/11/1,322.619
2024/12/1,323.296
2025/1/1,324.739
2025/2/1,325.475
2025/3/1,325.659
2025/4/1,326.43
2025/5/1,326.854
2025/6/1,327.6
2025/7/1,328.656
2025/8/1,329.793
2025/9/1,330.542
2025/10/1,
2025/11/1,331.068
2025/12/1,331.86
