Date,Value
2005/1/1,10783.01
2005/1/2,10783.01
2005/1/3,10729.43
2005/1/4,10630.78
2005/1/5,10597.83
2005/1/6,10622.88
2005/1/7,10603.96
2005/1/8,10603.96
2005/1/9,10603.96
2005/1/10,10621.03
2005/1/11,10556.22
2005/1/12,10617.78
2005/1/13,10505.83
2005/1/14,10558
2005/1/15,10558
2005/1/16,10558
2005/1/17,10558
2005/1/18,10628.79
2005/1/19,10539.97
2005/1/20,10471.47
2005/1/21,10392.99
2005/1/22,10392.99
2005/1/23,10392.99
2005/1/24,10368.61
2005/1/25,10461.56
2005/1/26,10498.59
2005/1/27,10467.4
2005/1/28,10427.2
2005/1/29,10427.2
2005/1/30,10427.2
2005/1/31,10489.94
2005/2/1,10551.94
2005/2/2,10596.79
2005/2/3,10593.1
2005/2/4,10716.13
2005/2/5,10716.13
2005/2/6,10716.13
2005/2/7,10715.76
2005/2/8,10724.63
2005/2/9,10664.11
2005/2/10,10749.61
2005/2/11,10796.01
2005/2/12,10796.01
2005/2/13,10796.01
2005/2/14,10791.13
2005/2/15,10837.32
2005/2/16,10834.88
2005/2/17,10754.26
2005/2/18,10785.22
2005/2/19,10785.22
2005/2/20,10785.22
2005/2/21,10785.22
2005/2/22,10611.2
2005/2/23,10673.79
2005/2/24,10748.79
2005/2/25,10841.6
2005/2/26,10841.6
2005/2/27,10841.6
2005/2/28,10766.23
2005/3/1,10830
2005/3/2,10811.97
2005/3/3,10833.03
2005/3/4,10940.55
2005/3/5,10940.55
2005/3/6,10940.55
2005/3/7,10936.86
2005/3/8,10912.62
2005/3/9,10805.62
2005/3/10,10851.51
2005/3/11,10774.36
2005/3/12,10774.36
2005/3/13,10774.36
2005/3/14,10804.51
2005/3/15,10745.1
2005/3/16,10633.07
2005/3/17,10626.35
2005/3/18,10629.67
2005/3/19,10629.67
2005/3/20,10629.67
2005/3/21,10565.39
2005/3/22,10470.51
2005/3/23,10456.02
2005/3/24,10442.87
2005/3/25,10442.87
2005/3/26,10442.87
2005/3/27,10442.87
2005/3/28,10485.65
2005/3/29,10405.7
2005/3/30,10540.93
2005/3/31,10503.76
2005/4/1,10404.3
2005/4/2,10404.3
2005/4/3,10404.3
2005/4/4,10421.14
2005/4/5,10458.46
2005/4/6,10486.02
2005/4/7,10546.32
2005/4/8,10461.34
2005/4/9,10461.34
2005/4/10,10461.34
2005/4/11,10448.56
2005/4/12,10507.97
2005/4/13,10403.93
2005/4/14,10278.75
2005/4/15,10087.51
2005/4/16,10087.51
2005/4/17,10087.51
2005/4/18,10071.25
2005/4/19,10127.41
2005/4/20,10012.36
2005/4/21,10218.6
2005/4/22,10157.71
2005/4/23,10157.71
2005/4/24,10157.71
2005/4/25,10242.47
2005/4/26,10151.13
2005/4/27,10198.8
2005/4/28,10070.37
2005/4/29,10192.51
2005/4/30,10192.51
2005/5/1,10192.51
2005/5/2,10251.7
2005/5/3,10256.95
2005/5/4,10384.64
2005/5/5,10340.38
2005/5/6,10345.4
2005/5/7,10345.4
2005/5/8,10345.4
2005/5/9,10384.34
2005/5/10,10281.11
2005/5/11,10300.25
2005/5/12,10189.48
2005/5/13,10140.12
2005/5/14,10140.12
2005/5/15,10140.12
2005/5/16,10252.29
2005/5/17,10331.88
2005/5/18,10464.45
2005/5/19,10493.19
2005/5/20,10471.91
2005/5/21,10471.91
2005/5/22,10471.91
2005/5/23,10523.56
2005/5/24,10503.68
2005/5/25,10457.8
2005/5/26,10537.6
2005/5/27,10542.55
2005/5/28,10542.55
2005/5/29,10542.55
2005/5/30,10542.55
2005/5/31,10467.48
2005/6/1,10549.87
2005/6/2,10553.49
2005/6/3,10460.97
2005/6/4,10460.97
2005/6/5,10460.97
2005/6/6,10467.03
2005/6/7,10483.07
2005/6/8,10476.86
2005/6/9,10503.02
2005/6/10,10512.63
2005/6/11,10512.63
2005/6/12,10512.63
2005/6/13,10522.56
2005/6/14,10547.57
2005/6/15,10566.37
2005/6/16,10578.65
2005/6/17,10623.07
2005/6/18,10623.07
2005/6/19,10623.07
2005/6/20,10609.11
2005/6/21,10599.67
2005/6/22,10587.93
2005/6/23,10421.44
2005/6/24,10297.84
2005/6/25,10297.84
2005/6/26,10297.84
2005/6/27,10290.78
2005/6/28,10405.63
2005/6/29,10374.48
2005/6/30,10274.97
2005/7/1,10303.44
2005/7/2,10303.44
2005/7/3,10303.44
2005/7/4,10303.44
2005/7/5,10371.8
2005/7/6,10270.68
2005/7/7,10302.29
2005/7/8,10449.14
2005/7/9,10449.14
2005/7/10,10449.14
2005/7/11,10519.72
2005/7/12,10513.89
2005/7/13,10557.39
2005/7/14,10628.89
2005/7/15,10640.83
2005/7/16,10640.83
2005/7/17,10640.83
2005/7/18,10574.99
2005/7/19,10646.56
2005/7/20,10689.15
2005/7/21,10627.77
2005/7/22,10651.18
2005/7/23,10651.18
2005/7/24,10651.18
2005/7/25,10596.48
