Date,Value
2005/1/1,58.04
2005/1/2,59.38
2005/1/3,141.9
2005/1/4,145.57
2005/1/5,109.9
2005/1/6,89.06
2005/1/7,108.05
2005/1/8,50.1
2005/1/9,84.47
2005/1/10,112.8
2005/1/11,79.02
2005/1/12,107.35
2005/1/13,94.35
2005/1/14,89.14
2005/1/15,81.32
2005/1/16,59.78
2005/1/17,88.14
2005/1/18,112.46
2005/1/19,108.37
2005/1/20,88.77
2005/1/21,115.35
2005/1/22,110.91
2005/1/23,61.77
2005/1/24,159.03
2005/1/25,100.28
2005/1/26,128.87
2005/1/27,116.51
2005/1/28,103.7
2005/1/29,113.37
2005/1/30,48.06
2005/1/31,155.16
2005/2/1,142.2
2005/2/2,145.08
2005/2/3,113.01
2005/2/4,106.86
2005/2/5,59.46
2005/2/6,62.5
2005/2/7,140.13
2005/2/8,86.85
2005/2/9,138.54
2005/2/10,119.67
2005/2/11,124.79
2005/2/12,89.53
2005/2/13,60.16
2005/2/14,128.28
2005/2/15,150.57
2005/2/16,129.59
2005/2/17,135.85
2005/2/18,107.51
2005/2/19,81.14
2005/2/20,72.92
2005/2/21,106.33
2005/2/22,123.3
2005/2/23,85.23
2005/2/24,104.25
2005/2/25,113.62
2005/2/26,87.32
2005/2/27,136.03
2005/2/28,118.31
2005/3/1,146.94
2005/3/2,109.88
2005/3/3,88.82
2005/3/4,74.18
2005/3/5,93.87
2005/3/6,59.53
2005/3/7,107.57
2005/3/8,124.82
2005/3/9,95.81
2005/3/10,82.25
2005/3/11,98.31
2005/3/12,76.84
2005/3/13,90.02
2005/3/14,80.2
2005/3/15,101.69
2005/3/16,110.61
2005/3/17,83.65
2005/3/18,75.22
2005/3/19,77.81
2005/3/20,40.49
2005/3/21,138.65
2005/3/22,78.42
2005/3/23,97
2005/3/24,124.65
2005/3/25,93.22
2005/3/26,59.87
2005/3/27,48.99
2005/3/28,88.23
2005/3/29,86
2005/3/30,88.41
2005/3/31,82.88
2005/4/1,115.72
2005/4/2,60.83
2005/4/3,96.72
2005/4/4,99.52
2005/4/5,109.9
2005/4/6,121.23
2005/4/7,114.95
2005/4/8,67.43
2005/4/9,71.53
2005/4/10,65.81
2005/4/11,84.25
2005/4/12,78.35
2005/4/13,75.72
2005/4/14,70.7
2005/4/15,100.55
2005/4/16,66.25
2005/4/17,77.73
2005/4/18,129.31
2005/4/19,112.51
2005/4/20,80.17
2005/4/21,62.23
2005/4/22,89.53
2005/4/23,75.48
2005/4/24,45.23
2005/4/25,75.2
2005/4/26,100.77
2005/4/27,92.93
2005/4/28,106.53
2005/4/29,82.67
2005/4/30,78.34
2005/5/1,87.65
2005/5/2,150.57
2005/5/3,122.08
2005/5/4,128.56
2005/5/5,76.85
2005/5/6,99.69
2005/5/7,87.09
2005/5/8,84.84
2005/5/9,134.97
2005/5/10,98.49
2005/5/11,92.79
2005/5/12,139.61
2005/5/13,97.43
2005/5/14,55.21
2005/5/15,75.45
2005/5/16,103.4
2005/5/17,70.74
2005/5/18,99.69
2005/5/19,88.96
2005/5/20,115.29
2005/5/21,54.3
2005/5/22,67.1
2005/5/23,61.63
2005/5/24,74.26
2005/5/25,97.17
2005/5/26,133.25
2005/5/27,146.49
2005/5/28,73.68
2005/5/29,82.25
2005/5/30,125.57
2005/5/31,137.53
2005/6/1,81.01
2005/6/2,82.88
2005/6/3,46.53
2005/6/4,73.49
2005/6/5,38.93
2005/6/6,121.01
2005/6/7,91.2
2005/6/8,90.16
2005/6/9,111.63
2005/6/10,78.94
2005/6/11,65.17
2005/6/12,52.41
2005/6/13,113.59
2005/6/14,64.51
2005/6/15,64.35
2005/6/16,65.01
2005/6/17,101.17
2005/6/18,79.34
2005/6/19,43.35
2005/6/20,59.35
2005/6/21,81.06
2005/6/22,106.27
2005/6/23,91.94
2005/6/24,71.3
2005/6/25,55.8
2005/6/26,78.16
2005/6/27,156.5
2005/6/28,99.28
2005/6/29,77.94
2005/6/30,110.42
2005/7/1,128.17
2005/7/2,66.14
2005/7/3,87.27
2005/7/4,124.92
2005/7/5,126.38
2005/7/6,83.54
2005/7/7,46.66
2005/7/8,469.2
2005/7/9,241.45
2005/7/10,152.83
2005/7/11,223.27
2005/7/12,201.46
2005/7/13,224.74
2005/7/14,171.48
2005/7/15,154.66
2005/7/16,196.1
2005/7/17,139.55
2005/7/18,167.34
2005/7/19,175.07
2005/7/20,190.3
2005/7/21,134.26
2005/7/22,190.59
2005/7/23,163.84
2005/7/24,82.42
2005/7/25,214.23
2005/7/26,211.98
2005/7/27,188.04
2005/7/28,171.76
2005/7/29,169.95
2005/7/30,134.54
2005/7/31,75.78
2005/8/1,184.26
2005/8/2,160.59
2005/8/3,164.02
2005/8/4,170.34
2005/8/5,122.57
2005/8/6,146.6
2005/8/7,106.61
2005/8/8,173.5
2005/8/9,143.53
2005/8/10,136.88
2005/8/11,113.52
2005/8/12,149.44
2005/8/13,63.7
2005/8/14,151.24
2005/8/15,120.23
2005/8/16,90.11
2005/8/17,94.32
2005/8/18,80.37
2005/8/19,130.34
2005/8/20,64.01
2005/8/21,65.4
2005/8/22,94.4
2005/8/23,109.91
2005/8/24,98.83
2005/8/25,114.23
2005/8/26,109.43
2005/8/27,91.93
2005/8/28,70.32
2005/8/29,113.67
2005/8/30,97.89
2005/8/31,91.29
2005/9/1,86.96
2005/9/2,139.81
2005/9/3,118.31
2005/9/4,95.45
2005/9/5,60.46
2005/9/6,108.97
2005/9/7,123
2005/9/8,75.34
2005/9/9,101.75
2005/9/10,64.95
2005/9/11,91.43
2005/9/12,113.72
2005/9/13,100.84
2005/9/14,130.53
2005/9/15,109.03
2005/9/16,93.93
2005/9/17,79.89
2005/9/18,56.63
2005/9/19,161.86
2005/9/20,148.46
2005/9/21,142.57
2005/9/22,105.24
2005/9/23,117.31
2005/9/24,84.53
2005/9/25,92.11
2005/9/26,115.09
2005/9/27,109.07
2005/9/28,101.79
2005/9/29,83.77
2005/9/30,100.21
2005/10/1,43.13
2005/10/2,65.02
2005/10/3,123.83
2005/10/4,103.71
2005/10/5,125.68
2005/10/6,78.23
2005/10/7,140.39
2005/10/8,111.95
2005/10/9,100.7
2005/10/10,92.55
2005/10/11,86.91
2005/10/12,63.48
2005/10/13,99.43
2005/10/14,61.07
2005/10/15,73.01
2005/10/16,60.68
2005/10/17,107.21
2005/10/18,122.11
2005/10/19,62.61
2005/10/20,75.11
2005/10/21,91.94
2005/10/22,74.2
2005/10/23,42.38
2005/10/24,80.53
2005/10/25,72.3
2005/10/26,92.25
2005/10/27,86.83
2005/10/28,78.54
2005/10/29,46.93
2005/10/30,69.47
2005/10/31,177.8
2005/11/1,112.35
2005/11/2,76.12
2005/11/3,79.82
2005/11/4,99.14
2005/11/5,70.18
2005/11/6,67.06
2005/11/7,101.29
2005/11/8,97.8
2005/11/9,80.14
2005/11/10,118.9
2005/11/11,146.63
2005/11/12,78.1
2005/11/13,47.9
2005/11/14,91.46
2005/11/15,121.74
2005/11/16,77.52
2005/11/17,83.27
2005/11/18,74.44
2005/11/19,57.84
2005/11/20,63.92
2005/11/21,86.68
2005/11/22,84.27
2005/11/23,84.62
2005/11/24,70.55
2005/11/25,86.17
2005/11/26,49.14
2005/11/27,63.63
2005/11/28,54.18
2005/11/29,60.58
2005/11/30,76.75
2005/12/1,115.46
2005/12/2,67.13
2005/12/3,75.8
2005/12/4,56.02
2005/12/5,91.51
2005/12/6,135.58
2005/12/7,79.22
2005/12/8,94.03
2005/12/9,110.24
2005/12/10,48.44
2005/12/11,75.53
2005/12/12,86.78
2005/12/13,144.88
2005/12/14,126.94
2005/12/15,119.57
2005/12/16,81.59
2005/12/17,87.99
2005/12/18,75.8
2005/12/19,140.79
2005/12/20,101.2
2005/12/21,105.32
2005/12/22,102.74
2005/12/23,84.36
2005/12/24,79.23
2005/12/25,83.36
2005/12/26,130.76
2005/12/27,93.71
2005/12/28,103.91
2005/12/29,116.05
2005/12/30,80.44
2005/12/31,61.61
2006/1/1,60.15
2006/1/2,71.57
2006/1/3,64.71
2006/1/4,107.42
2006/1/5,58.21
2006/1/6,91.84
2006/1/7,62.23
2006/1/8,80.79
2006/1/9,85.78
2006/1/10,96.76
2006/1/11,117.62
2006/1/12,91.49
2006/1/13,121.59
2006/1/14,64.9
2006/1/15,81.06
2006/1/16,93.36
2006/1/17,106.5
2006/1/18,147.08
2006/1/19,94.49
2006/1/20,153.49
2006/1/21,114.92
2006/1/22,73.53
2006/1/23,111.7
2006/1/24,70.62
2006/1/25,105.57
2006/1/26,115.13
2006/1/27,127.52
2006/1/28,49.68
2006/1/29,66.49
2006/1/30,111.96
2006/1/31,106.64
2006/2/1,167.52
2006/2/2,89.6
2006/2/3,131.32
2006/2/4,88.87
2006/2/5,75.89
2006/2/6,140.07
2006/2/7,144.17
2006/2/8,85.92
2006/2/9,67.94
2006/2/10,88.15
2006/2/11,64.68
2006/2/12,28.25
2006/2/13,89.34
2006/2/14,89.01
2006/2/15,64.59
2006/2/16,112.87
2006/2/17,106.58
2006/2/18,61.84
2006/2/19,60.23
2006/2/20,69.17
2006/2/21,113.87
2006/2/22,88.15
2006/2/23,136.38
2006/2/24,102.42
2006/2/25,114.68
2006/2/26,87.36
2006/2/27,106.4
2006/2/28,128.42
2006/3/1,120.51
2006/3/2,71.77
2006/3/3,126.45
2006/3/4,63.76
2006/3/5,76.11
2006/3/6,119.78
2006/3/7,132.38
2006/3/8,137.76
2006/3/9,126.25
2006/3/10,130.72
2006/3/11,69.83
2006/3/12,67.45
2006/3/13,95.05
2006/3/14,143.75
2006/3/15,81.18
2006/3/16,105.03
2006/3/17,125.48
2006/3/18,52.93
2006/3/19,42.74
2006/3/20,94.13
2006/3/21,112.02
2006/3/22,108.81
2006/3/23,74.7
2006/3/24,92.18
2006/3/25,56.29
2006/3/26,34.23
2006/3/27,81.88
2006/3/28,75.89
2006/3/29,68.18
2006/3/30,76.18
2006/3/31,84
2006/4/1,58.07
2006/4/2,47.8
2006/4/3,121.23
2006/4/4,82.26
2006/4/5,62.57
2006/4/6,62.45
2006/4/7,96.72
2006/4/8,73.29
2006/4/9,61.88
2006/4/10,100.38
2006/4/11,115.31
2006/4/12,100.11
2006/4/13,99.69
2006/4/14,60.97
2006/4/15,110.89
2006/4/16,61.57
2006/4/17,139.61
2006/4/18,132.8
2006/4/19,99.25
2006/4/20,90.29
2006/4/21,71.95
2006/4/22,75.08
2006/4/23,33.16
2006/4/24,104.02
2006/4/25,128.02
2006/4/26,129.79
2006/4/27,129.06
2006/4/28,89.53
2006/4/29,81.72
2006/4/30,60.37
2006/5/1,99
2006/5/2,106.17
2006/5/3,96.45
2006/5/4,83.42
2006/5/5,91.86
2006/5/6,64.13
2006/5/7,63.49
2006/5/8,128.15
2006/5/9,105.06
2006/5/10,118.42
2006/5/11,115.94
2006/5/12,92.18
2006/5/13,64.58
2006/5/14,79.96
2006/5/15,70.65
2006/5/16,109.31
2006/5/17,87.97
2006/5/18,78.34
2006/5/19,79.36
2006/5/20,66.73
2006/5/21,70.56
2006/5/22,91.61
2006/5/23,86.56
2006/5/24,91.52
2006/5/25,62.55
2006/5/26,95.89
2006/5/27,60.86
2006/5/28,41.13
2006/5/29,86.57
2006/5/30,74.69
2006/5/31,52.93
2006/6/1,118.31
2006/6/2,98.02
2006/6/3,105.96
2006/6/4,84.35
2006/6/5,85.32
2006/6/6,123.41
2006/6/7,115.41
2006/6/8,86.82
2006/6/9,113.72
2006/6/10,96.65
2006/6/11,56.34
2006/6/12,84.54
2006/6/13,90.46
2006/6/14,125.99
2006/6/15,114.03
2006/6/16,96.51
2006/6/17,73.35
2006/6/18,104.69
2006/6/19,114.1
2006/6/20,139.97
2006/6/21,107.32
2006/6/22,112.62
2006/6/23,131.73
2006/6/24,63.81
2006/6/25,58.73
2006/6/26,108.67
2006/6/27,132.11
2006/6/28,94.64
2006/6/29,98.39
2006/6/30,133.72
2006/7/1,51.18
2006/7/2,55.94
2006/7/3,82.81
2006/7/4,147.32
2006/7/5,114.97
2006/7/6,172.96
2006/7/7,151.52
2006/7/8,107.03
2006/7/9,75.2
2006/7/10,161.29
2006/7/11,149.44
2006/7/12,154.59
2006/7/13,180.89
2006/7/14,171.88
2006/7/15,109.48
2006/7/16,124.62
2006/7/17,224.1
2006/7/18,206.6
2006/7/19,179.24
2006/7/20,130.3
2006/7/21,142.37
2006/7/22,137.91
2006/7/23,105.97
2006/7/24,150.57
2006/7/25,141.11
2006/7/26,165.11
2006/7/27,115.32
2006/7/28,180.03
2006/7/29,120.46
2006/7/30,100.26
2006/7/31,150.19
2006/8/1,151.56
2006/8/2,150.25
2006/8/3,137.9
2006/8/4,132.37
2006/8/5,109.83
2006/8/6,85.04
2006/8/7,171.41
2006/8/8,150.05
2006/8/9,156.93
2006/8/10,143.48
2006/8/11,252.68
2006/8/12,233.62
2006/8/13,134.86
2006/8/14,207.28
2006/8/15,239.73
2006/8/16,134.43
2006/8/17,137.4
2006/8/18,154.88
2006/8/19,100.56
2006/8/20,109.25
2006/8/21,156.4
2006/8/22,180.15
2006/8/23,160.06
2006/8/24,120.57
2006/8/25,150.98
2006/8/26,135.51
2006/8/27,73.07
2006/8/28,129.06
2006/8/29,161.78
2006/8/30,110.31
2006/8/31,100.82
2006/9/1,159.05
2006/9/2,118.2
2006/9/3,93.2
2006/9/4,155.35
2006/9/5,173.75
2006/9/6,134.21
2006/9/7,81.12
2006/9/8,149.08
2006/9/9,121.16
2006/9/10,97.74
2006/9/11,140.72
2006/9/12,120.99
2006/9/13,108.21
2006/9/14,119.7
2006/9/15,97.17
2006/9/16,73.85
2006/9/17,91.51
2006/9/18,111.98
2006/9/19,155.81
2006/9/20,124.62
2006/9/21,112.56
2006/9/22,105.72
2006/9/23,99.4
2006/9/24,71.2
2006/9/25,76.28
2006/9/26,115.89
2006/9/27,81.9
2006/9/28,117.82
2006/9/29,114.73
2006/9/30,85.65
2006/10/1,55.03
2006/10/2,108.42
2006/10/3,113
2006/10/4,130.08
2006/10/5,122.69
2006/10/6,110.72
2006/10/7,70.77
2006/10/8,48.22
2006/10/9,99.06
2006/10/10,251.71
2006/10/11,243.3
2006/10/12,109
2006/10/13,122.36
2006/10/14,101.08
2006/10/15,69.09
2006/10/16,160.47
2006/10/17,151.89
2006/10/18,109.31
2006/10/19,118.4
2006/10/20,97.68
2006/10/21,115.43
2006/10/22,58.39
2006/10/23,110.42
2006/10/24,125.92
2006/10/25,130.08
2006/10/26,100.3
2006/10/27,91.04
2006/10/28,81.46
2006/10/29,63.27
2006/10/30,79.78
2006/10/31,146.34
2006/11/1,143.61
2006/11/2,113.77
2006/11/3,113.83
