Date,Value
2005/1/3,429.7000 
2005/1/4,429.2000 
2005/1/5,427.3000 
2005/1/6,421.6000 
2005/1/7,419.5000 
2005/1/10,419.7000 
2005/1/11,422.4000 
2005/1/12,426.6000 
2005/1/13,425.1000 
2005/1/14,423.3000 
2005/1/18,423.5000 
2005/1/19,423.3000 
2005/1/20,422.6000 
2005/1/21,426.9000 
2005/1/24,427.1000 
2005/1/25,422.1000 
2005/1/26,426.9000 
2005/1/27,426.3000 
2005/1/28,428.1000 
2005/1/31,424.1000 
2005/2/1,422.9000 
2005/2/2,423.0000 
2005/2/3,418.5000 
2005/2/4,415.9000 
2005/2/7,415.4000 
2005/2/8,414.3000 
2005/2/9,414.5000 
2005/2/10,418.7000 
2005/2/11,422.0000 
2005/2/14,427.3000 
2005/2/15,427.3000 
2005/2/16,426.9000 
2005/2/17,428.6000 
2005/2/18,428.4000 
2005/2/22,435.8000 
2005/2/23,436.1000 
2005/2/24,435.7000 
2005/2/25,436.1000 
2005/2/28,437.6000 
2005/3/1,433.9000 
2005/3/2,433.8000 
2005/3/3,430.8000 
2005/3/4,435.1000 
2005/3/7,435.8000 
2005/3/8,441.1000 
2005/3/9,442.9000 
2005/3/10,443.4000 
2005/3/11,446.8000 
2005/3/14,441.6000 
2005/3/15,441.4000 
2005/3/16,444.2000 
2005/3/17,439.1000 
2005/3/18,439.7000 
2005/3/21,431.4000 
2005/3/22,431.6000 
2005/3/23,425.4000 
2005/3/24,424.8000 
2005/3/28,426.0000 
2005/3/29,426.0000 
2005/3/30,429.5000 
2005/3/31,431.1000 
2005/4/1,428.3000 
2005/4/4,426.0000 
2005/4/5,426.6000 
2005/4/6,429.2000 
2005/4/7,428.4000 
2005/4/8,428.8000 
2005/4/11,430.4000 
2005/4/12,429.3000 
2005/4/13,431.0000 
2005/4/14,425.6000 
2005/4/15,426.5000 
2005/4/18,429.0000 
2005/4/19,434.4000 
2005/4/20,436.7000 
2005/4/21,434.4000 
2005/4/22,435.6000 
2005/4/25,435.8000 
2005/4/26,439.0000 
2005/4/27,434.1000 
2005/4/28,432.4000 
2005/4/29,436.1000 
2005/5/2,430.5000 
2005/5/3,427.7000 
2005/5/4,430.0000 
2005/5/5,430.7000 
2005/5/6,426.9000 
2005/5/9,426.9000 
2005/5/10,427.9000 
2005/5/11,427.9000 
2005/5/12,422.2000 
2005/5/13,420.7000 
2005/5/16,419.3000 
2005/5/17,419.8000 
2005/5/18,421.9000 
2005/5/19,420.8000 
2005/5/20,417.7000 
2005/5/23,416.9000 
2005/5/24,417.7000 
2005/5/25,418.9000 
2005/5/26,418.0000 
2005/5/27,419.8000 
2005/5/31,418.9000 
2005/6/1,417.7000 
2005/6/2,424.8000 
2005/6/3,425.8000 
2005/6/6,428.4000 
2005/6/7,426.7000 
2005/6/8,426.6000 
2005/6/9,426.1000 
2005/6/10,429.3000 
2005/6/13,431.1000 
2005/6/14,429.3000 
2005/6/15,430.9000 
2005/6/16,437.9000 
2005/6/17,440.0000 
2005/6/20,440.0000 
2005/6/21,440.5000 
2005/6/22,439.7000 
2005/6/23,443.2000 
2005/6/24,442.0000 
2005/6/27,441.7000 
2005/6/28,437.7000 
2005/6/29,438.6000 
2005/6/30,437.1000 
2005/7/1,428.8000 
2005/7/5,423.9000 
2005/7/6,424.5000 
2005/7/7,424.2000 
2005/7/8,423.8000 
2005/7/11,426.3000 
2005/7/12,427.1000 
2005/7/13,424.6000 
2005/7/14,420.2000 
2005/7/15,421.3000 
