model,window,RMSE,MAE,R2_OS,DA
ARIMAX,5,0.011254447538663762,0.008208533519879392,-0.05983036066384173,50.64377682403433
ARIMAX,21,0.011664126263163972,0.008659534410570983,-0.12625681379691045,50.545851528384276
ARIMAX,63,0.013045108884414862,0.010142717288110892,-0.4006439200841383,47.254004576659035
XGBoost,5,0.012344476306183306,0.009205413295665432,-0.2750679666243454,50.42918454935622
XGBoost,21,0.012336824399570335,0.009361948961705812,-0.25991072606564103,50.76419213973799
XGBoost,63,0.012262256130895752,0.009233104806915027,-0.2375794527433217,52.745995423340965
LSTM,5,0.015525902638990088,0.010829390830403737,-1.0169805539915218,51.072961373390555
LSTM,21,0.016333267162761067,0.011220664023338493,-1.208407120670988,50.43668122270743
LSTM,63,0.022258918885218554,0.015881066391287744,-3.077936485684952,48.2837528604119
1D-CNN,5,0.018984850565864866,0.014585024169036783,-2.015798774484328,50.0
1D-CNN,21,0.020483098144088482,0.016055235608639477,-2.473156067146034,48.799126637554586
1D-CNN,63,0.04096724685975864,0.03149869854150073,-12.81356836203595,48.05491990846682
PatchTST,5,0.03091607466152534,0.02344100065541754,-6.997544939823061,50.75107296137339
PatchTST,21,0.02786295149401019,0.01854927074633802,-5.426688419682702,45.96069868995633
PatchTST,63,0.04583108708631196,0.031156510955568442,-16.288313957172832,50.34324942791763
iTransformer,5,0.03784871891427552,0.028972065831712055,-10.98644405870412,48.283261802575105
iTransformer,21,0.04318210719777775,0.034269728970354074,-14.436209686906107,48.90829694323144
iTransformer,63,0.028126297903681863,0.021890661604770108,-5.511146519101949,53.31807780320366
TimesNet-GRU-MHA,5,0.010985280781163028,0.008035962893931867,-0.0097417604788681,48.712446351931334
TimesNet-GRU-MHA,21,0.011004204309393924,0.008024942344517803,-0.0024213255551184254,50.32751091703057
TimesNet-GRU-MHA,63,0.011030238030427082,0.00813643839991264,-0.001387331095386024,51.48741418764302
TimesNet-GRU-MHA (w/o FFT),5,0.01161241193990736,0.00851097681043618,-0.12832149459580688,47.63948497854077
TimesNet-GRU-MHA (w/o FFT),21,0.017576157039211355,0.011561232082905321,-1.5572951534882202,47.92576419213974
TimesNet-GRU-MHA (w/o FFT),63,0.03240580822379814,0.026763746612734635,-7.643269182246094,49.4279176201373
TimesNet-MHA (w/o GRU),5,0.011073061453586074,0.008113141958115806,-0.025943429957307806,49.141630901287556
TimesNet-MHA (w/o GRU),21,0.023193722202777007,0.01873660209333337,-3.4532175244989753,48.47161572052402
TimesNet-MHA (w/o GRU),63,0.013575211274832686,0.010724733247472439,-0.516790215083569,46.10983981693364
GRU,5,0.01703888724248822,0.01118984762790949,-1.4292401593092414,49.24892703862661
GRU,21,0.029596965832231623,0.01739520948868924,-6.2514922860648126,46.61572052401747
GRU,63,0.019912810638773693,0.012138351300242356,-2.2636039589522756,54.118993135011436
GRU-MHA (w/o TimesNet),5,0.012033052642589442,0.008781816170625584,-0.21154521758281963,48.81974248927038
GRU-MHA (w/o TimesNet),21,0.013516957863947736,0.010036041809447562,-0.5124844802778166,48.90829694323144
GRU-MHA (w/o TimesNet),63,0.023201617233140945,0.018095121430175574,-3.430664231298593,48.05491990846682
TimesNet-GRU (w/o MHA),5,0.011380098834318338,0.008381635168917455,-0.08362760997652274,48.497854077253216
TimesNet-GRU (w/o MHA),21,0.011141795606200381,0.008191875050094029,-0.02764563379927787,47.48908296943232
TimesNet-GRU (w/o MHA),63,0.011264368419796632,0.00837633135447806,-0.04434986832417365,48.05491990846682
TimesNet-GRU-MHA (w/o 2D Inception),5,0.011434034934745985,0.008358264774983444,-0.09392368081162483,45.386266094420606
TimesNet-GRU-MHA (w/o 2D Inception),21,0.011099771335241775,0.008123445523915184,-0.019908170972753103,48.03493449781659
TimesNet-GRU-MHA (w/o 2D Inception),63,0.011494401177281635,0.008583062171190333,-0.08743930220902651,47.94050343249428
